run,gpus,batch,seq,layout,arm,stage,all_gather_calls,expected_all_gather_calls,pre_attention_peak_allocated_increment_mib,pre_attention_retained_increment_mib,gpu_ms_mean,gpu_ms_median,gpu_ms_sample_std,gpu_ms_min,gpu_ms_max,wall_ms_mean,wall_ms_median,wall_ms_sample_std,wall_ms_min,wall_ms_max
9707225,4,2,4096,contiguous,baseline,eager_pre_attention,2,2,192.0,128.0,0.9934449937608507,0.9522858619689941,0.06757727234106947,0.9509205500284831,1.107797368367513,0.9947475660333617,0.9533645488166561,0.06812434438339561,0.9519210007662574,1.1104656344590087
9707225,4,2,4096,contiguous,baseline,eager_pre_plus_attention,2,2,192.0,128.0,1.648782221476237,1.648844846089681,0.0002673997996392952,1.6482986450195312,1.649083709716797,1.650014627699016,1.6500304996346435,0.0002058966041582488,1.6496868998122711,1.6502171017539997
9707225,4,2,4096,contiguous,baseline,graph_pre_plus_attention,2,2,192.0,128.0,1.6434517118665908,1.643673578898112,0.0014216752317176937,1.6409258524576822,1.645090103149414,1.64436207851395,1.6445681666179248,0.0014448216483621255,1.6417838012178738,1.645952567923814
9707225,4,2,4096,contiguous,layout_only,eager_pre_attention,2,2,144.0,128.0,0.7471729808383518,0.7331157366434733,0.03575047347987487,0.7308629353841146,0.8201215744018555,0.7482790937905924,0.7341282170576353,0.03576032482676204,0.7319082001534601,0.8212493305715421
9707225,4,2,4096,contiguous,layout_only,eager_pre_plus_attention,2,2,144.0,128.0,1.4254364437527127,1.4254933675130208,0.0006265991102624222,1.424520492553711,1.4262271881103517,1.4265218283981085,1.4265159998709958,0.0005398404440865648,1.4258609657796721,1.427225136042883
9707225,4,2,4096,contiguous,layout_only,graph_pre_plus_attention,2,2,144.0,128.0,1.4256924311319987,1.425544548034668,0.0008985741352379873,1.4248619079589844,1.4273535410563152,1.4267260396283947,1.4264821501759193,0.0010018772499857413,1.4257563355689247,1.4282075688242912
9707225,4,2,4096,contiguous,packing_only,eager_pre_attention,1,1,288.0,128.0,0.953582943810357,0.9351850827534993,0.046613790632015435,0.9328981399536133,1.0487125396728516,0.9546028120288005,0.9361938340589404,0.04667301756972692,0.9338720003142953,1.0498529338898759
9707225,4,2,4096,contiguous,packing_only,eager_pre_plus_attention,1,1,288.0,128.0,1.6233699374728734,1.623927434285482,0.0014084732895447618,1.6207188924153646,1.6245077768961589,1.6243908004576548,1.6249605667932578,0.00140408711836531,1.6217347350902855,1.625475431016336
9707225,4,2,4096,contiguous,packing_only,graph_pre_plus_attention,1,1,288.0,128.0,1.6235918045043944,1.6234495798746744,0.00200806666972058,1.6208895365397136,1.6264874776204428,1.6245486551067896,1.6245223329557725,0.0020293509888174464,1.6217495353582005,1.6273731326994796
9707225,4,2,4096,contiguous,head,eager_pre_attention,1,1,160.0,128.0,0.7270627551608615,0.711953067779541,0.035017473043437795,0.7118165334065755,0.7984469095865886,0.7282991440863245,0.7129377995928128,0.035573843323653244,0.7128095021471381,0.8008162646243969
9707225,4,2,4096,contiguous,head,eager_pre_plus_attention,1,1,160.0,128.0,1.4108159806993272,1.410167439778646,0.003822551372693992,1.4071467081705729,1.415884780883789,1.4118614037417703,1.4111852137527117,0.003827839614695681,1.4082817321953673,1.4169424655847251
9707225,4,2,4096,contiguous,head,graph_pre_plus_attention,1,1,160.0,128.0,1.410292625427246,1.4099797566731769,0.0015221204601231057,1.4087509155273437,1.412334950764974,1.4111624383885,1.410875217212985,0.0015205470820080682,1.4096377999521792,1.4131793985143304
9707225,4,2,4096,contiguous,head_contiguous,eager_pre_attention,1,1,256.0,128.0,1.05421937306722,1.0209280014038087,0.05774939177761694,1.0150911966959635,1.1508394877115886,1.0552258890432618,1.0219108681970588,0.057794467153781975,1.016058400273323,1.151918099882702
9707225,4,2,4096,contiguous,head_contiguous,eager_pre_plus_attention,1,1,256.0,128.0,1.71295288933648,1.7129472096761067,0.0008633954611966044,1.711957295735677,1.7141760508219401,1.7140004790336307,1.7139988679749272,0.0008911008509982169,1.712970668449998,1.7152712331153452
9707225,4,2,4096,contiguous,head_contiguous,graph_pre_plus_attention,1,1,256.0,128.0,1.7091640684339735,1.7091925303141275,0.0007216428279311674,1.7082708994547526,1.7100116729736328,1.7100252883715763,1.7100271497232218,0.0007354647456874646,1.709122098206232,1.7109055692950885
9707225,4,2,4096,projection_view,baseline,eager_pre_attention,2,2,192.0,128.0,1.0328412585788302,1.0325568199157715,0.0021856808259906914,1.030280558268229,1.0367562611897787,1.0338436889772613,1.033602631650865,0.002178969481288714,1.0312817331093054,1.0377251698325078
9707225,4,2,4096,projection_view,baseline,eager_pre_plus_attention,2,2,192.0,128.0,1.726841057671441,1.7268922805786133,0.0008004301245452386,1.7254656473795573,1.7277151743570964,1.7279039932570108,1.7279199654391655,0.0007926408320712976,1.7265209307273228,1.7287560661012928
9707225,4,2,4096,projection_view,baseline,graph_pre_plus_attention,2,2,192.0,128.0,1.7241152233547634,1.7241850535074872,0.000901898162495422,1.72313601175944,1.7253888448079426,1.7250216333195567,1.725112833082676,0.0008788433469300609,1.7240307992324233,1.7262732338470717
9707225,4,2,4096,projection_view,layout_only,eager_pre_attention,2,2,144.0,128.0,0.7525203598870172,0.7333893140157064,0.04719675935554413,0.7323914845784505,0.8488501230875651,0.7537207883110063,0.734524114523083,0.0473973523015063,0.7334457671580216,0.8504591998644173
9707225,4,2,4096,projection_view,layout_only,eager_pre_plus_attention,2,2,144.0,128.0,1.4292977650960286,1.429108238220215,0.0027555275352925245,1.4256266276041667,1.4329291025797526,1.4304691220685426,1.4302651320273678,0.00269504041825082,1.426737868071844,1.4340645012756188
9707225,4,2,4096,projection_view,layout_only,graph_pre_plus_attention,2,2,144.0,128.0,1.4286476135253907,1.4291978200276692,0.001425369887762923,1.4267626444498698,1.430136489868164,1.4295595264734908,1.4301338815130293,0.0014219549748597756,1.4276526325071852,1.431041401034842
9707225,4,2,4096,projection_view,packing_only,eager_pre_attention,1,1,288.0,128.0,1.0105432828267416,1.0110874493916828,0.0015321386296639715,1.00808957417806,1.012053362528483,1.011553111149826,1.012070100599279,0.0015556322592966173,1.0091029301596184,1.0131808657509584
9707225,4,2,4096,projection_view,packing_only,eager_pre_plus_attention,1,1,288.0,128.0,1.7065079159206815,1.7073408126831056,0.0021350404977368864,1.7027083079020182,1.7082229614257813,1.7075562894913472,1.7083950010904423,0.002148576930065566,1.703716298410048,1.7092990999420483
9707225,4,2,4096,projection_view,packing_only,graph_pre_plus_attention,1,1,288.0,128.0,1.7054675420125325,1.7056400299072265,0.001995518935594689,1.7024959564208983,1.7083775838216146,1.706395511670659,1.7065312170113127,0.002037086124996545,1.7034035331259172,1.7093788017518818
9707225,4,2,4096,projection_view,head,eager_pre_attention,1,1,160.0,128.0,0.7131740464104547,0.7132437388102213,0.000995383648761336,0.71189759572347,0.7144639968872071,0.7141807944410377,0.7142135000322014,0.000998809489825069,0.7129223668016493,0.715421000495553
9707225,4,2,4096,projection_view,head,eager_pre_plus_attention,1,1,160.0,128.0,1.4093406253390843,1.4086277643839518,0.0016385930016614384,1.4080608367919922,1.4123072306315103,1.410411194147956,1.4096614827091496,0.0016373894093817465,1.4092230354435742,1.4133712315621476
9707225,4,2,4096,projection_view,head,graph_pre_plus_attention,1,1,160.0,128.0,1.4100462171766492,1.409661356608073,0.002454085750895494,1.4073898315429687,1.414461898803711,1.4110701048694965,1.4105954828361669,0.0025549345352421354,1.4082419336773455,1.4156347994382183
9707225,4,2,4096,projection_view,head_contiguous,eager_pre_attention,1,1,256.0,128.0,1.0178938547770182,1.0170431772867838,0.002508458917939982,1.0160565058390298,1.0226805369059244,1.0189325555175957,1.018005869506548,0.002585707746268162,1.0170691646635532,1.023900997824967
9707225,4,2,4096,projection_view,head_contiguous,eager_pre_plus_attention,1,1,256.0,128.0,1.713488515218099,1.7137125015258787,0.002029604093093816,1.7098965962727866,1.715350341796875,1.7145536232015326,1.714787952369079,0.0020564649778822036,1.7109276998477678,1.7164162010885775
9707225,4,2,4096,projection_view,head_contiguous,graph_pre_plus_attention,1,1,256.0,128.0,1.7089985529581706,1.7087439854939779,0.0011725043574607296,1.7077471415201824,1.7110645294189453,1.7098996167381604,1.7095907339050123,0.001170136132166825,1.708656099314491,1.7119321002004046
9707225,4,2,16384,contiguous,baseline,eager_pre_attention,2,2,768.0,512.0,3.4214993794759114,3.4219280242919923,0.0022364118221210438,3.4184949239095053,3.424730682373047,3.4225151770644717,3.4229406000425415,0.00223190790948274,3.4194927002924183,3.425733399732659
9707225,4,2,16384,contiguous,baseline,eager_pre_plus_attention,2,2,768.0,512.0,13.761636861165364,13.755136617024739,0.01823400370535239,13.74531962076823,13.788427734375,13.762610572545478,13.756074449823547,0.018196795723607023,13.74647143529728,13.789354132798811
9707225,4,2,16384,contiguous,baseline,graph_pre_plus_attention,2,2,768.0,512.0,13.756216261121962,13.754313659667968,0.006066828672712709,13.750656127929688,13.766014607747396,13.75707864968313,13.755266050187249,0.006057645636658108,13.751454298229268,13.766818198685845
9707225,4,2,16384,contiguous,layout_only,eager_pre_attention,2,2,576.0,512.0,2.5524828592936197,2.5525578816731773,0.0014727216652509283,2.550976053873698,2.5549578348795574,2.5534911391635737,2.553542868311827,0.0015139711532099183,2.5519193965010345,2.5560642670219145
9707225,4,2,16384,contiguous,layout_only,eager_pre_plus_attention,2,2,576.0,512.0,12.922415161132813,12.924484761555991,0.011199885350541162,12.902286783854167,12.933339436848959,12.923380687263691,12.925415264908224,0.01112917136811873,12.903432497599473,12.934335864459475
